int_pos,var_name,x,label,length,decimal_places,fin_pos,col_type,CHAR
1,V0102,$2.00 ,,2,0,2,c,TRUE
3,V1002,$4.00 ,,4,0,6,c,TRUE
7,V1003,$5.00 ,,5,0,11,c,TRUE
12,V0103,$7.00 ,,7,0,18,c,TRUE
19,V0104,$9.00 ,,9,0,27,c,TRUE
28,V0105,$11.00 ,,11,0,38,c,TRUE
39,V0300,8,,8,0,46,i,FALSE
47,V0404,2,,2,0,48,i,FALSE
49,V1001,$1.00 ,,1,0,49,c,TRUE
50,V1004,$2.00 ,,2,0,51,c,TRUE
52,AREAP,$13.00 ,,13,0,64,c,TRUE
65,CODV0404,$1.00 ,,1,0,65,c,TRUE
66,CODV0404_2,$2.00 ,,2,0,67,c,TRUE
68,V4614B,7,,7,0,74,i,FALSE
75,CODV4615B,$2.00 ,,2,0,76,c,TRUE
77,V4614C,7,,7,0,83,i,FALSE
84,CODV4615C,$2.00 ,,2,0,85,c,TRUE
86,V4616_7400,8.2,,8,2,93,d,FALSE
94,CODV4615_7400,$2.00 ,,2,0,95,c,TRUE
96,V7400,2,,2,0,97,i,FALSE
98,CODV7400,$2.00 ,,2,0,99,c,TRUE
100,V7400A,2,,2,0,101,i,FALSE
102,CODV7400A,$2.00 ,,2,0,103,c,TRUE
104,V7400B,2,,2,0,105,i,FALSE
106,CODV7400B,$2.00 ,,2,0,107,c,TRUE
108,P001,11.8,,11,8,118,d,FALSE
