int_pos,var_name,x,label,length,decimal_places,fin_pos,col_type,CHAR,
1,V0102,$2.00 ,,2,0,2,c,TRUE,V0102
3,V1002,$4.00 ,,4,0,6,c,TRUE,V1002
7,V1003,$5.00 ,,5,0,11,c,TRUE,V1003
12,V0103,$7.00 ,,7,0,18,c,TRUE,V1103
19,V0104,$9.00 ,,9,0,27,c,TRUE,V0104
28,V0105,$11.00 ,,11,0,38,c,TRUE,V0105
39,V0300,8,,8,0,46,c,TRUE,V0300
47,V0400,2,,2,0,48,c,TRUE,V0400
49,V1004,$2.00 ,,2,0,50,c,TRUE,V1004
51,AREAP,$13.00 ,,13,0,63,c,TRUE,AREAP
64,V1001,$1.00 ,,1,0,64,c,TRUE,V1001
65,V1005,$1.00 ,,1,0,65,c,TRUE,V1005
66,V1006,$1.00 ,,1,0,66,c,TRUE,V1006
67,V1007,$1.00 ,,1,0,67,c,TRUE,V1007
68,MARCA,$1.00 ,,1,0,68,c,TRUE,MARCA
69,V0401,$1.00 ,,1,0,69,c,TRUE,V0401
70,M0401,$1.00 ,,1,0,70,c,TRUE,M0401
71,V0402,$2.00 ,,2,0,72,c,TRUE,V0402
73,M0402,$1.00 ,,1,0,73,c,TRUE,M0402
74,V0403,$2.00 ,,2,0,75,c,TRUE,V0403
76,M0403,$1.00 ,,1,0,76,c,TRUE,M0403
77,V0404,1,,1,0,77,c,TRUE,V0404
78,M0404,$1.00 ,,1,0,78,c,TRUE,M0404
79,V4752,3,,3,0,81,i,FALSE,V4572
82,M4752,$1.00 ,,1,0,82,c,TRUE,M4752
83,V4754,2,,2,0,84,i,FALSE,V4754
85,M4754,$1.00 ,,1,0,85,c,TRUE,M4754
86,V4070,$1.00 ,,1,0,86,c,TRUE,V4070
87,V0408,$1.00 ,,1,0,87,c,TRUE,V0408
88,M0408,$1.00 ,,1,0,88,c,TRUE,M0408
89,V4090,$3.00 ,,3,0,91,c,TRUE,V4090
92,M4090,$1.00 ,,1,0,92,c,TRUE,M4090
93,V0410,$1.00 ,,1,0,93,c,TRUE,V0410
94,M0410,$1.00 ,,1,0,94,c,TRUE,M0410
95,V0411,$1.00 ,,1,0,95,c,TRUE,V0411
96,M0411,$1.00 ,,1,0,96,c,TRUE,M0411
97,V0412,$1.00 ,,1,0,97,c,TRUE,V0412
98,M0412,$1.00 ,,1,0,98,c,TRUE,M0412
99,V0413,$1.00 ,,1,0,99,c,TRUE,V0413
100,M0413,$1.00 ,,1,0,100,c,TRUE,M0413
101,V0414,$1.00 ,,1,0,101,c,TRUE,V0414
102,M0414,$1.00 ,,1,0,102,c,TRUE,M0414
103,V0415,$1.00 ,,1,0,103,c,TRUE,V0415
104,M0415,$1.00 ,,1,0,104,c,TRUE,M0415
105,V0416,2,,2,0,106,i,FALSE,V0416
107,M0416,$1.00 ,,1,0,107,c,TRUE,M0416
108,V0417,$1.00 ,,1,0,108,c,TRUE,V0417
109,M0417,$1.00 ,,1,0,109,c,TRUE,M0417
110,V0418,$1.00 ,,1,0,110,c,TRUE,V0418
111,M0418,$1.00 ,,1,0,111,c,TRUE,M0418
112,V0419,$1.00 ,,1,0,112,c,TRUE,V0419
113,M0419,$1.00 ,,1,0,113,c,TRUE,M0419
114,V0420,$4.00 ,,4,0,117,i,FALSE,V0420
118,M0420,$1.00 ,,1,0,118,c,TRUE,M0420
119,V4210,$2.00 ,,2,0,120,c,TRUE,V4210
121,M4210,$1.00 ,,1,0,121,c,TRUE,M4210
122,V0422,2,,2,0,123,i,FALSE,V0422
124,M0422,$1.00 ,,1,0,124,c,TRUE,M0422
125,V4230,$2.00 ,,2,0,126,c,TRUE,V4230
127,M4230,$1.00 ,,1,0,127,c,TRUE,M4230
128,V0424,$1.00 ,,1,0,128,c,TRUE,V0424
129,M0424,$1.00 ,,1,0,129,c,TRUE,M0424
130,V4250,$7.00 ,,7,0,136,c,TRUE,V4250
137,M4250,$1.00 ,,1,0,137,c,TRUE,M4250
138,V4260,$2.00 ,,2,0,139,c,TRUE,V4260
140,M4260,$1.00 ,,1,0,140,c,TRUE,M4260
141,V4276,$7.00 ,,7,0,147,c,TRUE,V4276
148,M4276,$1.00 ,,1,0,148,c,TRUE,M4276
